,price
97005,68490
98298,6500
83875,16996
15999,54000
30861,88000
63966,49900
14713,12999
56909,252999
107840,25900
103163,5900
76026,48900
20021,239900
54210,83999
63460,2850
24583,19900
32248,654800
111798,30900
49958,69800
104200,42500
54440,180235
58365,46900
67301,18900
117542,329900
30899,75500
7181,13900
105127,153000
18022,95000
42904,105000
92729,48800
107225,49900
99029,9000
64525,94900
43656,63900
68223,6999
26280,8900
76698,129999
115664,19999
17112,3900
111806,17900
74744,29500
9559,22300
67551,43999
85371,68900
7991,13700
115278,67800
67761,45500
65560,89900
43548,126900
106363,26500
81266,28500
67100,46700
77448,24999
33214,272100
4809,7500
54367,152000
28599,253000
65269,16950
56503,262000
25347,94900
102240,36500
41737,79850
28372,38000
99430,96900
99515,89900
11014,7300
38000,41900
102846,46900
57193,299900
75099,15000
102120,22900
97459,97990
114798,43900
40446,21900
60849,260587
79475,99300
62483,76800
73997,54900
78799,124990
78232,62900
100103,117700
59155,37500
5373,39900
20860,45000
56110,45999
100002,89900
37982,89900
15345,18800
37747,74900
97854,27900
9169,22900
1218,12400
21626,65000
1339,14300
27632,180600
67854,104600
39462,19900
19816,58900
39271,37500
61361,149900
104906,144750
87111,31500
15173,26900
79611,49900
15732,65900
19900,99999
73509,151200
75650,41799
115173,22500
12100,13900
97262,33900
45035,151800
85007,132500
40407,32000
10847,60900
96538,148694
40101,19200
114723,72900
65610,62001
18454,19000
5888,111990
18668,20500
109369,107300
6592,45500
55546,654900
20309,259300
85923,46800
34990,527600
60775,43000
77249,14300
36657,14900
90531,33900
44902,34500
71055,82900
87374,50900
50222,9999
108489,27900
94436,82900
7302,11700
9116,14999
89633,95000
97937,30900
66239,29900
85835,21900
32135,76500
71011,56500
9131,9000
3858,43000
107334,49900
53714,58000
47733,19900
67795,91000
36542,12999
63136,39900
106587,31900
42289,9400
105933,8500
100071,98800
56935,220000
28311,81900
86828,15500
62291,41500
97385,110000
98167,88900
21821,145000
45890,17900
83621,6300
96183,56900
91235,23800
89798,42500
46309,8900
28280,57900
85878,19500
92365,44895
17705,53900
3437,44000
36220,8800
97839,22900
11021,9900
98723,5900
2262,30500
116917,19900
37026,31500
90143,62400
33304,271900
38990,13900
27130,31500
81892,21900
61206,324900
9608,19999
48763,11500
25061,12900
37147,27500
58023,144900
69522,11900
101456,72900
89129,26900
4905,20700
61151,139900
25311,45900
30984,138900
45347,16500
105940,13900
18837,18900
82457,22900
26014,24900
97512,16900
37795,28500
83371,46900
93802,53000
83603,9900
72905,665000
13763,138900
20504,379900
86231,15900
18210,7500
61950,199899
3728,61799
115568,22900
53251,31900
41001,69900
24756,20900
51844,39900
81688,23900
99050,79000
115897,166612
3819,48499
17352,59900
99564,89900
84408,70000
44270,134230
20854,28600
35944,48999
50977,22900
104761,74900
15100,23000
97487,89900
89484,16900
35432,10800
103535,6900
24162,149900
111560,12900
102417,47990
51747,151200
75818,73450
3430,39900
116043,69899
7699,35500
78319,86900
34539,361000
51570,102900
10538,54800
46070,34900
89371,28990
71886,166000
10907,14900
28838,139000
98669,2999
101243,75000
62552,259160
55797,212756
65378,83000
115451,55900
13692,61300
70461,44000
74683,34900
86947,14200
15657,44900
97534,17950
51772,69900
25204,98900
48617,14900
14854,18900
95309,106900
115906,204050
40728,32900
49114,45900
67834,77900
39887,2490
40720,37900
6843,43900
32528,37900
8205,24800
48686,18700
35758,333470
33744,29800
75219,12000
63234,49900
25572,144900
42218,12000
46867,70000
36228,4500
34667,387000
44461,90990
77074,11900
110992,13800
98444,16900
115372,58000
92834,84000
89159,13900
48439,12700
92910,92000
111763,19999
6608,36999
36789,13999
115410,55900
117742,142500
90850,87900
65837,22600
55034,27800
105205,53900
113069,68500
58810,11690
115300,51850
28071,71900
52191,8499
70568,20500
77987,93000
36714,14900
31282,323600
46165,42500
115679,38888
75637,69900
67595,79999
103008,38900
116127,87500
32922,215000
26391,35000
56471,379900
78448,53990
100784,11400
97283,39900
108316,26900
12208,39999
110021,109999
69681,72900
110600,22900
1249,12500
45416,7900
18103,8400
112319,49900
31142,279900
58027,127305
8857,88900
34312,109000
46843,64500
7605,5400
8809,184640
40194,15999
87126,45900
91463,45500
108245,26900
20572,218900
104570,98500
85001,43000
32925,167100
39121,94900
108744,31900
71555,42999
37465,18999
105910,18900
56042,76999
104938,73800
11658,7950
15580,64000
48650,9800
18757,27500
84351,22600
84435,53900
53946,55600
30964,219228
22677,255660
108990,54950
116779,245000
11050,9500
13016,14600
64883,87900
109480,56900
117669,130000
47331,34900
84063,19900
117363,148500
32563,45700
88965,59900
6249,21900
99982,64900
24038,159900
104369,23900
97468,123900
108338,60000
55070,19500
45025,64500
52581,19900
88003,30900
109056,45900
62246,29900
83735,15900
91201,24999
104582,86900
40367,17900
36926,16900
111660,5900
43023,25777
23141,87000
32333,455000
107361,44500
109606,31900
67882,93900
114137,138000
64475,36900
113356,29900
101468,68000
110130,21500
92100,44500
20864,20500
50297,9399
114015,68000
23816,109000
92530,36900
110397,171900
55626,152524
61654,34900
37413,23900
28713,179000
92035,44900
81577,86000
18673,16400
77795,70799
100598,119900
79306,13900
98074,59500
64152,29300
23435,299800
24348,258000
52202,7200
8227,13300
62147,349999
73418,91900
70099,71800
50972,12500
84000,20900
22724,139900
11160,8500
23286,374000
74145,46900
46422,16500
108298,62500
55745,169000
38177,74800
28781,203193
113930,53500
64994,20500
58818,11900
43635,51500
3442,39501
46227,51900
105123,69900
92735,42900
117518,142500
42831,75900
25299,42500
111305,88888
22686,195000
111631,14500
34597,358200
9499,28000
34198,73200
10794,69500
68831,89900
117396,130000
4269,16500
22087,67900
14411,14900
50058,66900
34551,392460
6633,23500
79506,139100
47941,16500
80068,73900
76838,9900
8297,28999
72219,55000
13935,74900
5028,7800
54254,310810
38832,28800
107602,108800
51213,62900
11881,20900
109287,98400
78456,70999
115569,4500
49652,49900
88875,117400
54988,44900
116040,49900
15748,68900
37858,144900
7385,10900
114975,20000
40601,25900
35501,39900
112008,15999
81262,21900
7819,17900
89168,21900
22512,264516
9183,7300
19538,178750
73726,16900
42713,35400
64,2900
33389,300400
49345,24900
76349,116200
10320,63900
21208,542934
112255,50000
58009,259100
32638,45900
113693,17999
27122,27900
24852,18000
1055,7990
18401,23000
117301,149900
33363,223600
102087,15000
100574,69800
106308,16500
57132,148700
23518,368480
26466,5999
23953,79800
66278,19800
56635,130900
20843,24999
44514,31500
104118,23800
100271,117999
98622,14800
73438,98500
76433,89900
86009,36900
82378,16990
33866,294900
103430,18999
7771,15950
93296,73900
18928,27000
77575,59900
34646,17900
50272,9300
115692,129900
902,9000
7455,23900
26080,6800
21708,109900
73231,42000
45466,99900
80477,82300
103870,29999
9468,6999
23568,193000
114315,91900
93265,78500
11393,7500
111548,19800
47171,6900
77266,13900
31735,29999
56761,170000
111382,89900
113946,35900
56024,99900
89493,34999
114631,44900
46310,19900
46336,20900
30294,49900
7595,7500
15488,55000
116373,44500
29833,22900
107699,18900
53219,24000
71762,89000
20044,255900
40394,22900
38482,98000
19171,109990
108377,268000
86714,21900
65511,91300
81514,19900
20613,119000
37687,56999
89600,99900
1544,11800
43486,113740
41620,92900
58369,43999
38861,8800
26006,9500
94306,98843
115370,68899
11631,110577
106795,7200
116530,158000
27306,16500
38080,85900
81682,25000
84661,13990
72582,88900
20059,349896
104739,44900
83764,44000
58974,14700
79606,27900
49673,44900
57805,6600
2072,43900
87682,15900
37319,23900
117613,199900
1111,16800
106692,45002
61298,239900
66984,24900
74830,30900
100149,38900
79542,30000
11488,86000
65603,59900
116118,84900
105720,5900
31825,20777
117192,165900
103780,17300
39455,11300
26154,9800
92891,128900
20885,29900
47838,31500
70765,60500
53034,19900
6242,40000
68792,20999
65832,114900
51516,69900
53167,42900
109814,119900
73887,16900
104430,25900
3974,84900
29569,31999
61004,210000
47194,36900
89855,14900
18295,39900
70201,72900
33982,239000
86283,6700
93337,97900
68478,34900
59814,98500
114759,65500
43441,113900
82874,25500
62191,109900
116192,71900
78254,86900
58062,138900
105148,95000
69353,142000
16672,106900
96549,158208
50388,5200
22370,147000
693,4999
19965,269900
53296,58000
86727,24900
12849,28000
68106,11900
36095,9300
105808,14000
112481,17900
89897,19900
75510,34900
49654,49900
63731,8800
16886,179900
2635,27500
95164,61300
52858,22999
93615,163732
98636,9900
108790,30900
64167,29990
14879,18900
90703,56500
90953,54900
102470,54990
66165,25600
44907,29000
31733,52999
6348,24900
46109,26400
4799,10300
66154,22300
47041,8850
105256,48990
109165,42999
12748,31900
63785,10990
10165,64900
71069,42999
4882,14900
70456,17800
32396,439000
19069,27800
88716,36900
104387,32800
75865,46900
115827,204900
109189,39500
88252,64900
113557,14500
101886,9800
102350,77990
70758,18900
13403,22900
92409,46500
89930,34900
102656,51900
95593,29000
1653,41900
43537,119999
91880,42000
35163,129899
110933,10750
52409,27500
89929,67200
59087,27900
36460,8900
96918,76220
24120,67900
3142,43050
102370,80900
51550,84999
62407,39900
70919,71799
10876,8900
94581,121900
66431,24900
65906,120000
64235,28900
110940,12900
35400,44900
64581,62900
62835,128700
68629,25900
77283,20900
68937,47999
107984,12000
47391,22499
15667,29800
110958,16900
11654,18500
16667,194900
109188,36900
116570,199900
70380,25000
114730,104900
92923,105200
50829,18999
44154,169600
10524,47400
69269,61377
79588,35900
42909,69900
56296,99999
117911,297600
31256,159000
104768,61800
882,16900
74166,41900
89914,22800
87572,5999
74479,18696
64487,65650
14302,15900
115342,72300
13089,37900
91106,98000
55810,191878
53106,29900
63375,47900
82485,25000
47708,16800
35960,55500
77906,79100
105946,13900
66145,19900
109332,47900
56257,142900
86254,25500
56287,124900
85418,79500
95041,34500
72298,106700
79525,49000
6246,29900
115567,14900
40322,12800
10493,46900
98348,5000
34954,374990
55805,86400
25959,29900
93267,95900
28496,298300
34795,299000
58208,6700
40020,16999
22802,89900
40224,27500
46028,37900
76241,6500
104829,107900
33236,306900
40590,40500
103769,12500
13269,33000
66503,9100
111678,11900
52065,37800
96472,112800
39108,79900
47039,11000
42416,26900
6269,42999
65518,61900
27055,45900
40413,19900
90772,78700
28956,109900
65456,69900
17238,164900
94932,70900
56151,13900
31050,325100
23119,422850
48914,35000
41097,69800
35632,104600
76207,4400
78444,74900
9788,18900
22689,189900
115558,6900
107443,19900
65060,25900
108242,64900
78249,47847
38058,59700
53606,85900
84138,21500
71896,123800
116394,65400
76305,11900
29158,261900
108309,196400
106549,22000
4901,22900
95814,29000
69785,72900
48566,15500
70063,46400
83424,58900
62414,91500
51050,17700
31671,219000
53073,27500
81872,26000
90693,47900
6089,39900
115784,149900
95577,176700
16392,29900
76076,42900
16171,32900
23826,338000
113440,13700
52940,26900
98463,11900
5972,36000
62369,18800
81501,3500
82216,12800
106109,12500
106083,14500
5161,39900
89958,13950
105742,3900
52967,16000
51575,139000
69676,52500
60547,52900
116186,91900
91449,12500
6247,31900
46721,125460
14691,14300
15530,48900
111136,18900
38451,155000
20877,43000
18417,39999
95712,29900
20019,389240
82952,14900
21785,72500
44525,136900
71869,124999
64427,32800
32127,54900
52919,16900
26645,20900
107083,58900
68701,29990
77493,79900
112835,57600
60490,76000
105600,81990
83941,35999
69625,82900
20286,299900
110584,42900
44455,178500
108218,14900
24774,22140
44201,149900
32595,29900
117578,239900
77888,69999
34739,269370
63989,54900
79085,26000
39913,6499
67791,44999
112140,14990
12877,11100
110257,33999
12167,13999
86525,6765
21543,265000
36314,10700
8008,11500
105805,11900
81668,21900
50167,9800
54161,31900
93684,19500
50459,81500
112714,35900
61263,239900
27896,104900
96792,79900
11363,12900
30630,109000
53172,20900
101998,31900
11270,5500
88135,88500
83056,16900
28009,145900
78597,67900
92347,55900
45611,24900
89657,73500
12340,38800
109609,27600
90063,23900
652,4900
102518,61990
56088,7000
74393,45900
117050,222900
59034,289900
66382,12900
615,5900
53455,65900
44507,119000
42687,47900
85527,22999
36127,8500
61991,160000
29564,30000
68184,16999
102999,34300
112889,44999
8662,89100
6847,33900
114713,89000
22980,469586
14312,12999
41584,64000
28856,303700
103926,46000
19153,57900
106990,6450
105930,11900
56707,87500
105883,16900
40588,29900
56300,94710
28946,72500
114178,71900
3243,65900
14670,11500
66493,22900
75981,34900
115239,79900
105718,3800
31884,28900
68392,9990
39835,5000
39673,10900
15625,38900
98652,8900
31919,39900
12394,38800
21880,319150
3943,34900
50403,6900
89621,81500
1913,38900
103465,54900
43260,38000
50734,76000
57264,580000
85104,17800
25077,17800
16834,94900
72778,17900
43267,112800
60743,24900
33762,27500
60768,54900
81893,26500
85041,47900
61906,463710
109164,117700
97095,26900
1113,22500
29313,9999
61159,269900
50011,79900
111125,23300
95466,18900
10044,63900
70353,26700
45490,9000
36666,13400
90333,25999
58752,23200
75052,17900
47483,15900
37478,24900
107495,37200
108369,79998
51498,89900
13085,5900
25822,69900
42874,87900
31289,263000
28018,105000
40840,62000
26974,17800
114374,159900
88858,19900
83983,16700
34034,249900
39844,9500
55386,24700
79903,115900
61125,129900
55717,38499
64178,43600
61174,235000
110946,19400
64440,36500
43568,120000
14456,21500
61494,28000
27473,29900
115340,134900
66179,31900
21745,170253
38982,16400
14752,16400
26388,8900
14653,21900
115704,297900
113077,49900
61963,185000
73366,73900
97667,47000
71900,133990
74174,61900
64684,8900
89102,13900
33387,225900
63517,4900
18410,20900
10550,108400
49944,87900
35887,77000
91998,59900
1513,13900
77930,70000
32273,179900
117602,229900
7708,17900
58348,71800
94604,62900
71358,12900
62026,835000
4586,12900
79268,45500
105317,37999
33724,32900
22569,260700
9696,19999
79782,34900
110497,109990
74886,31900
77399,21000
56146,32900
36405,11900
33310,270400
4192,2590
32358,229395
82947,17900
31311,162900
63257,38900
106147,14900
14618,17990
113112,46900
61254,274900
107493,13900
28120,90900
75391,12900
69111,69900
23106,499900
93098,130600
83178,17800
75581,49000
112785,87500
48822,42900
76481,143000
66714,29900
83350,15900
72486,94900
106272,13900
95377,42900
88325,104900
94748,14900
8541,25900
16893,149900
33145,67500
109230,91200
78187,60000
86190,6999
83986,19900
82446,20900
23248,45900
28209,42900
39140,59999
56986,189900
80474,79999
109171,129500
21450,211640
57420,289500
6448,43900
72156,73890
50247,15400
77297,14900
89756,84500
40831,57900
17520,44999
96793,112800
81112,28500
16808,124900
18501,25555
26128,10200
57087,149900
48743,17100
48823,28900
58137,106000
68496,23600
82789,17900
96671,112800
99582,83000
71305,63999
71976,24500
50993,14900
101366,15000
45492,100000
71486,37000
109546,23999
111438,77000
38711,32800
37520,32900
71970,13500
82863,13400
41943,9900
28200,49815
105182,101900
14427,14900
72899,42000
81193,24400
97654,34800
117566,351306
107968,26900
43368,92940
36570,12900
25170,30900
6853,31900
14358,12900
60358,27900
12153,11500
62648,29900
67964,55000
74674,24900
49459,45500
59443,101500
47598,24400
52181,6900
14878,18500
64319,33999
77584,68500
82392,13900
4044,3900
108524,55000
46273,15900
63325,36000
44764,419900
64907,65900
112892,69900
78928,46900
94527,90598
55536,451500
68454,8300
50336,9400
2038,34900
79275,29999
82024,47990
66960,19900
117451,269000
112302,96400
85735,10500
112396,16900
68274,11900
89038,33000
85052,18900
43576,120450
59444,109000
88067,25700
73466,69900
46902,15500
57469,79500
65092,27500
12720,25000
67668,88499
68598,15900
77019,52900
33590,39900
100100,89000
108890,29900
64592,67400
102332,98700
47302,38900
96799,76800
39236,14900
13633,15900
114612,104900
29322,22000
3013,59900
81351,24900
96484,202464
15250,17900
55685,34900
116266,89000
4827,22777
468,29900
78381,66900
110935,9900
39326,42000
53963,129000
50122,65000
42302,11900
24323,219900
72151,71900
16796,174900
100043,90000
98877,24900
58632,11500
63599,14900
114404,136000
102783,50700
23059,232900
24057,76900
73153,18900
34146,48000
64536,44900
111977,15900
89870,27900
74175,54900
40362,12900
44482,91900
90052,17958
52074,36900
11592,79900
16119,31500
84110,22000
21055,89999
42567,23000
108541,155800
110631,37999
64170,67900
48827,52900
26685,19900
18780,22000
37886,33900
65368,74999
85815,20900
31168,462000
105955,10900
80829,14900
68305,10900
19549,136900
54701,21900
39380,40000
41334,94500
84036,24999
77716,74799
103290,29000
24594,19800
15051,20900
35895,58600
74816,37900
76291,6900
88703,17900
107553,49900
97928,51500
27136,29999
87952,44800
80415,89900
101140,59900
46967,159000
34647,31800
97083,17800
23121,249900
3343,46900
86629,19900
114563,45600
23740,399556
99048,96000
41808,36000
9123,16500
85005,21900
49476,31000
108947,77900
61976,260000
71293,19900
42734,19600
24630,19900
110597,52900
87604,10900
74738,42900
14189,9900
40994,74799
7780,13490
40315,18750
103436,18500
84034,24200
110505,24500
28535,298600
4973,16900
11912,19900
87012,54900
72956,26500
97552,11000
56662,139900
100400,88000
48850,39900
28959,274000
46150,34900
94128,47900
65894,173300
98670,6900
97505,95390
14177,9900
33627,35000
2889,18999
50153,3000
106744,45700
108739,37800
103534,14900
106594,19900
25948,7500
70848,36900
108208,14900
62508,94900
104,11900
6889,18500
90426,33900
45261,16000
31377,169900
59630,99600
78469,159800
66800,29900
91352,21000
33699,36600
21003,199000
68514,29900
116031,165200
59301,28700
68662,19950
117199,199000
90199,48900
87830,44500
69398,93900
2855,95900
103775,13900
16358,46600
91444,16900
98233,119700
48707,28000
112919,53900
72634,93900
33497,197900
31018,164000
80613,22000
43767,69700
89715,53000
101636,49990
115860,119900
52681,23199
56936,239900
103481,53900
63467,6999
110988,24900
41183,114900
59677,310991
106607,23900
16631,227311
97764,30000
56971,135000
54122,80000
87299,36900
36307,7800
65753,23950
80098,129900
77837,58799
31159,264900
81698,24900
65870,27000
102049,23900
69519,11800
99434,99900
111458,67900
105763,5999
83218,12500
68825,53700
39729,7999
75480,36700
70774,75500
101648,36900
33108,48500
25461,45900
95558,49900
36645,9300
11013,12900
35279,179900
53727,65000
70403,16999
117148,183999
25930,8900
29402,12400
17461,48500
85241,78000
117437,351306
28572,245300
81303,17999
3020,79999
54503,20000
38387,89500
44410,184500
40044,17700
25945,7900
30039,23500
8187,23900
42138,14700
60239,11200
28888,470800
114183,36500
98677,5300
8699,97700
78954,26900
65512,59999
93358,79900
55597,799900
85536,17500
68465,37900
17530,72570
49214,63837
37134,18999
116113,76900
27301,17900
42738,20999
43707,28990
51236,55900
47219,15990
13119,15900
30736,69900
15477,25500
105117,89900
60539,205000
88297,71400
87776,41000
86136,12900
74386,44800
74994,253700
39104,59900
13888,49500
47347,13999
107382,13900
92237,57000
66643,12900
440,32000
111540,19900
59665,132900
101436,13900
112152,18900
37915,68900
86575,27900
93015,90900
3891,15500
2352,22500
71738,97400
90617,28900
192,31300
84791,39900
22792,54900
45465,104900
85684,22900
41349,77000
11219,14900
54650,16900
107075,22900
97176,23900
23719,189900
7721,18000
61065,264999
29945,28900
6734,20900
74939,29900
33871,311090
38558,90900
78280,64900
114365,289500
112494,20900
68698,25500
8422,26900
43445,119900
2050,28900
41075,64700
55417,69900
71742,97000
71760,130400
75360,18500
74466,49900
61026,239700
3447,65900
84083,23900
47886,14000
9702,28888
75808,45900
50064,89900
42604,50999
81056,72800
14075,134900
108440,59900
31534,175000
112933,74900
15532,54900
14144,3450
79501,97500
110139,22500
107522,49900
31408,137900
22578,218500
38173,56500
102205,36200
87138,82800
89994,19500
17153,9990
101240,60000
98487,8850
65640,58000
115026,14950
16151,33900
25011,24999
16586,97900
90188,34900
100377,43000
75938,46000
105329,28900
68399,6700
45929,23900
102921,49200
5295,39500
72619,87900
77193,36600
112067,20900
49460,19999
27846,77490
59688,137000
42022,7900
3468,100800
55103,59900
109930,99900
65113,34000
23687,63800
54438,135300
84480,32900
50263,11500
81230,34400
117373,351306
116641,182900
25487,97000
41901,7500
67599,166900
9581,29999
86319,12900
52524,19500
69215,25900
79141,47000
55044,38900
39541,195000
101959,190990
89778,88650
49720,39900
47238,26000
116716,180900
71184,52700
107758,48892
36132,7900
90632,29999
82015,24900
86632,53000
95521,30999
88455,183600
77230,24777
25984,5999
3484,48900
50699,23900
41862,39500
93268,89900
69284,25999
111313,82900
7844,15700
79212,41777
59612,299900
43451,102300
101196,135900
26202,7700
15849,38900
45700,31900
52888,33800
48940,22800
114192,69900
74980,261451
4919,22900
67894,44500
7744,11400
8799,73900
46585,87900
76227,3400
108234,58900
51371,74900
4135,6750
32720,99900
50767,41000
74307,61900
19448,59900
73977,54900
73492,185800
110114,22500
47773,18900
27324,18500
6420,35900
60125,23900
106989,8599
3921,39852
17492,55500
16841,95900
42868,56900
32290,219000
104117,22800
85316,79900
61672,99900
113286,100900
36693,17990
75649,44900
4904,13000
100121,92900
61667,56900
53962,69000
81066,31900
83193,14500
74475,56900
48989,27800
81105,44900
83834,21900
69171,6600
12183,17999
32682,221300
54890,28900
30524,67999
3847,57900
98350,17900
3389,57900
52997,29500
88473,96900
102361,73200
73910,15500
101073,109900
57915,55900
62709,122900
84920,87500
8016,22300
100424,21500
33231,273700
43007,45900
74140,33800
52992,28900
23712,147477
93810,39900
84438,37900
29052,118999
22093,49500
96567,65800
113351,10900
60150,12900
99741,64500
14943,21900
76020,56900
81291,15900
41662,77900
51256,56900
86103,14900
60263,19900
110320,26900
60692,83000
64762,7700
51461,64990
12120,13500
25562,159800
83987,27900
56536,105000
2442,31900
41535,73900
90684,68900
65167,33000
25874,69900
917,9999
28252,54980
94649,17000
88023,39900
3584,73900
73886,16500
41434,73000
104259,25990
68125,9900
78695,138700
5188,33900
56484,269900
67980,79000
92437,56900
66147,14900
102761,67900
103516,35900
52438,19999
20323,257000
42974,24900
5142,36900
48938,47600
33348,186250
109692,27900
111365,74000
43349,89900
44989,98885
76579,101900
56921,219900
66699,21500
94937,111000
55969,179000
4123,5900
51431,69990
87362,63499
26873,42900
69304,111000
22723,129900
115103,21000
96516,120000
92064,50500
27990,77900
95630,23900
3380,59900
33952,237390
74660,51900
65891,138006
40482,34000
8310,15500
57548,249000
96007,41900
12460,6999
84103,35993
22042,47500
49278,26500
7628,9900
76287,7900
8717,82000
91745,37900
92856,89000
5132,27000
77524,83998
16527,70020
58001,123000
60840,190200
53487,75600
38468,67500
110996,18300
93024,75500
72234,71900
42855,48900
23674,99900
90554,27500
72126,48700
116575,182900
416,51000
112228,17500
59390,13900
76397,120276
28865,99000
2985,61500
106620,141500
77917,59900
103256,7700
68621,35300
909,18500
116193,86900
4373,13900
44287,160400
63739,10700
8837,66500
60656,55900
113897,49900
65933,39990
48114,14900
95773,23000
54554,28900
96501,88900
98687,9999
35065,128900
105730,4400
50815,26900
93972,28002
92896,66900
31482,145900
51455,82900
77132,22900
17794,154900
38686,114330
25748,139800
43665,61900
32659,105500
115642,23800
20065,229000
113055,66900
79561,28000
53224,25900
27261,23000
70349,13000
30874,86000
51520,102900
23886,53900
45136,22700
94074,49900
81835,19990
109377,138000
23271,43900
58103,125900
91383,18800
114006,122900
83510,43900
40500,36000
109610,18600
29527,22400
41137,73900
62112,239900
82359,25500
8306,16999
59648,144999
61695,45000
38655,125820
111060,19800
6966,45795
76202,6300
85085,124500
111640,8500
73730,19000
95623,27999
50579,16500
51585,69000
115638,39000
111121,18900
87290,39000
24691,38000
109175,69900
28478,220717
88366,161400
97926,77000
8981,72900
97230,21900
74511,67527
28448,108900
95421,57900
48803,43000
71388,12900
79356,13900
20869,47900
31736,66900
69370,93900
16307,45900
47524,14900
58227,46900
20199,164900
56056,75700
17075,89900
2410,31200
41886,15900
106269,13900
71600,26900
13342,25500
66662,11500
34796,228000
64162,41900
104511,28800
79560,49900
109324,47500
89560,26900
44605,165680
56020,72888
96608,71900
74460,38900
9769,27900
96599,77700
109937,143900
52528,12500
103171,10400
35473,37900
109268,34700
41676,75000
90741,62900
65884,24900
83082,25500
79610,74900
110556,54900
18023,164900
56265,147000
61752,95938
40031,18777
38029,82900
25072,21900
69590,109900
39806,2150
111901,21300
104733,107800
11422,29900
55985,160145
9048,60900
9979,52200
34446,479000
22571,268500
1079,14500
22102,59900
77612,57900
78947,39900
25697,309600
74212,26900
94729,21990
111955,13800
25607,69999
100240,131700
48953,56000
59281,45900
87741,19900
102666,37300
111880,13999
87869,49900
103658,11800
12087,15900
58864,13000
108112,4050
17125,8500
106453,109800
32334,152000
56323,155000
59783,115000
51567,61900
96794,112800
18018,129700
107393,15900
58464,29800
73215,37000
81990,23700
46258,18900
12318,36500
98892,23900
44047,34500
94443,73500
33195,290100
89672,114700
109504,25899
113534,49900
26501,37000
110675,15900
7720,14500
42413,35700
69177,8000
67343,15700
108454,99000
48646,10000
6882,14500
49307,34600
81914,34900
28090,49900
89619,89900
78880,42900
15495,43500
67285,19900
79260,32900
31909,32900
15410,54900
55853,264750
3532,49900
86355,8200
74404,62900
30038,34999
36671,15999
5260,24900
49732,31900
58937,7700
105540,89900
39017,14999
39485,179899
64630,63900
89606,71900
41072,76999
21753,58800
97504,87000
64347,37000
103714,10500
64816,15999
94130,41900
104841,92900
87822,44900
90660,28900
115058,15500
18542,19900
22339,255000
103899,29900
44937,93900
115135,17900
91267,22700
85291,69990
47208,22999
14572,9900
109151,32900
114448,88700
47962,63900
116231,89900
99113,80000
24421,166700
60631,70000
60987,344270
46664,91900
96034,53600
40281,14999
9235,7990
83838,19500
2264,22500
107318,16666
77023,24000
117858,229900
16799,240700
61513,80000
52672,18800
66002,5200
112865,64500
67022,11900
88635,15900
16911,82900
83406,38900
99368,95000
78551,84900
97266,44900
101616,39800
107177,48900
21045,190000
46188,16500
45931,22100
66572,11300
30921,74900
102574,3699
311,11500
44469,119000
46730,99000
38300,63000
73323,126900
16503,185000
20208,292850
46183,26900
89113,5599
62718,134200
14559,12500
62180,199000
67349,18900
61673,51500
974,12700
46698,169900
3231,58900
5552,68900
2759,25900
46950,28000
59748,145900
100873,156700
19212,58900
63355,84900
34770,239900
47915,22500
82900,24900
105272,67000
88865,28000
112257,39900
116474,176900
29336,13400
46767,95000
10660,64000
33807,27900
117804,269000
53775,82900
66527,10999
94175,55000
5554,75100
42720,24900
117632,215250
111972,16900
40722,54000
66173,10900
33258,332100
79887,91900
60268,28900
111588,5999
95862,61500
85289,31888
107146,49900
81975,30627
52843,20000
60898,136900
44910,39000
47657,23900
60704,64900
41651,105000
18244,9400
85804,24000
49923,180600
38338,75900
51903,34900
30380,79900
15195,29800
62262,64000
116114,64000
16229,49900
54311,118470
60045,8500
89082,4999
51753,187200
15105,21900
38563,148770
40105,16900
107195,11900
43183,48999
62539,249900
72831,19900
51538,59900
59198,36900
33448,273800
40707,32999
2661,25500
51638,72000
5501,124000
109236,79990
57374,426989
103659,18900
19843,98000
113422,7990
104862,107900
101985,201990
108148,14999
28519,221035
105042,52500
1173,13000
65845,28700
51223,59900
114677,75000
102023,26445
22201,59900
57167,184900
60449,19500
104288,30700
48138,11900
89915,29900
115400,49900
50425,13900
87754,41400
53566,57550
88834,21500
111555,16900
12013,7500
5610,76500
52781,29999
40236,21500
75910,42000
114074,41000
81552,375000
41049,95999
25454,79900
83955,19900
106916,13900
108344,62900
34848,393900
34329,144900
19406,98500
108717,62900
98119,65900
109783,25900
62954,55000
104488,36500
114282,76200
31,38900
81618,119500
105669,9900
2281,30900
776,17000
26296,6900
6395,39900
83804,32998
19342,59700
58895,13999
62331,97900
17525,98000
44309,99500
73373,84900
5146,36900
105981,17999
108431,59900
49218,26500
92838,69900
113703,13500
47768,14900
39258,12999
87283,62699
103067,84900
35668,95400
61747,109000
86160,21500
35771,204900
107708,21500
79741,41900
81390,10490
31727,44600
90992,62900
40635,85900
107786,31500
92369,47900
12792,38900
72111,49900
69338,69000
17171,6000
39628,240923
30001,31000
102850,32900
33504,179900
6838,39500
17369,38900
89918,39700
65922,26800
70778,67500
46094,34500
64716,19900
56231,129000
56888,189900
86037,48500
109168,105500
106759,35999
89911,46700
18236,10999
28784,179900
66837,19800
95757,21800
80191,84900
19590,68880
110294,21900
6939,24000
57337,448100
15245,19500
17805,159000
67572,67900
57465,63960
